('2016-09-01', '1', '2017-03-30 17:09:18')
('2016-10-01', '1', '2017-03-30 17:09:24')
('2016-10-01', '2', '2017-03-30 17:09:34')
('2016-11-01', '1', '2017-03-30 17:09:47')
('2016-11-01', '2', '2017-03-30 17:09:53')
('2016-11-01', '3', '2017-03-30 17:10:03')
('2016-12-01', '1', '2017-03-30 17:09:49')
('2016-12-01', '2', '2017-03-30 17:09:58')
('2016-12-01', '3', '2017-03-30 17:10:10')
('2017-01-01', '1', '2017-03-30 17:10:12')
('2017-01-01', '2', '2017-03-30 17:10:14')
('2017-01-01', '3', '2017-03-30 17:10:19')
('2017-01-01', '4', '2017-03-30 17:10:22')
('2017-02-01', '1', '2017-03-30 17:09:17')
('2017-02-01', '2', '2017-03-30 17:09:21')
('2017-02-01', '3', '2017-03-30 17:09:33')
('2017-02-01', '4', '2017-03-30 17:09:38')
